01-11 18:30:24.915 25729 24574 D HONFecService: output: groupId=3059, index=3, length=52
01-11 18:30:24.916 25729 24416 D HONFecService: output: groupId=3059, index=4, length=52
01-11 18:30:24.917 25729  6200 D HONFecService: input: groupId=4644, index=3, length=1452
01-11 18:30:24.918 25729 24048 D HONFecService: output: groupId=3060, index=0, length=52
01-11 18:30:24.919 25729  6200 D HONFecService: input: groupId=4644, index=4, length=1452
01-11 18:30:24.920 25729 24416 D HONFecService: input: groupId=4645, index=0, length=1452
01-11 18:30:24.920 25729  4595 D HONFecService: output: groupId=3060, index=1, length=40
01-11 18:30:24.921 25729 24573 D HONFecService: output: groupId=3060, index=2, length=40
01-11 18:30:24.923 25729 24049 D HONFecService: input: groupId=4645, index=1, length=1452
01-11 18:30:24.924 25729 21038 D HONFecService: input: groupId=4645, index=4, length=1452
01-11 18:30:24.925 25729 21035 D HONFecService: output: groupId=3060, index=3, length=52
01-11 18:30:24.925 25729 21038 D HONFecService: input: groupId=4645, index=2, length=1390
01-11 18:30:24.926 25729 24574 D HONFecService: input: groupId=4645, index=3, length=1390
01-11 18:30:24.927 25729 21035 D HONFecService: input: groupId=4646, index=0, length=1452
01-11 18:30:24.929 25729 23496 D HONFecService: output: groupId=3060, index=4, length=52
01-11 18:30:24.931 25729 24573 D HONFecService: output: groupId=3061, index=0, length=52
01-11 18:30:24.932 25729 23496 D HONFecService: input: groupId=4646, index=1, length=1452
01-11 18:30:24.933 25729 24573 D HONFecService: output: groupId=3061, index=1, length=63
01-11 18:30:24.933 25729 24415 D HONFecService: input: groupId=4646, index=2, length=1452
01-11 18:30:24.935 25729  4598 D HONFecService: output: groupId=3061, index=2, length=63
01-11 18:30:24.937 25729 24576 D HONFecService: input: groupId=4646, index=3, length=1452
01-11 18:30:24.939 25729 24049 D HONFecService: input: groupId=4646, index=4, length=1452
01-11 18:30:24.939 25729 21070 D HONFecService: input: groupId=4647, index=0, length=1452
01-11 18:30:24.940 25729  4598 D HONFecService: output: groupId=3061, index=3, length=63
01-11 18:30:24.941 25729 24574 D HONFecService: output: groupId=3061, index=4, length=63
01-11 18:30:24.941 25729  4593 D HONFecService: input: groupId=4647, index=1, length=1452
01-11 18:30:24.943 25729 21037 D HONFecService: input: groupId=4647, index=2, length=1452
01-11 18:30:24.944 25729 24574 D HONFecService: output: groupId=3062, index=0, length=63
01-11 18:30:24.945 25729 24575 D HONFecService: input: groupId=4647, index=3, length=1452
01-11 18:30:24.948 25729 24050 D HONFecService: input: groupId=4647, index=4, length=1452
01-11 18:30:24.948 25729  4593 D HONFecService: input: groupId=4648, index=0, length=1452
01-11 18:30:24.950 25729 21065 D HONFecService: output: groupId=3062, index=1, length=63
01-11 18:30:24.954 25729 24050 D HONFecService: input: groupId=4648, index=1, length=40
01-11 18:30:24.954 25729 24576 D HONFecService: input: groupId=4648, index=2, length=1452
01-11 18:30:24.954 25729  4605 D HONFecService: output: groupId=3062, index=2, length=63
01-11 18:30:24.955 25729 21070 D HONFecService: input: groupId=4648, index=3, length=1452
01-11 18:30:24.956 25729 21034 D HONFecService: output: groupId=3062, index=3, length=63
01-11 18:30:24.956 25729 21037 D HONFecService: output: groupId=3062, index=4, length=63
01-11 18:30:24.956 25729  4595 D HONFecService: input: groupId=4648, index=4, length=1188
01-11 18:30:24.957 25729 24049 D HONFecService: input: groupId=4649, index=0, length=1452
01-11 18:30:24.958 25729 21037 D HONFecService: output: groupId=3063, index=0, length=63
01-11 18:30:24.961 25729 21070 D HONFecService: output: groupId=3063, index=1, length=63
01-11 18:30:24.962 25729  4674 D HONFecService: input: groupId=4649, index=1, length=1452
01-11 18:30:24.963 25729 24050 D HONFecService: output: groupId=3063, index=2, length=63
01-11 18:30:24.964 25729  4674 D HONFecService: input: groupId=4649, index=2, length=1452
01-11 18:30:24.964 25729  4674 D HONFecService: output: groupId=3063, index=3, length=63
01-11 18:30:24.966 25729 21038 D HONFecService: output: groupId=3063, index=4, length=63
01-11 18:30:24.967 25729  4606 D HONFecService: input: groupId=4649, index=3, length=1452
01-11 18:30:24.968 25729  4606 D HONFecService: input: groupId=4649, index=4, length=1452
01-11 18:30:24.969 25729 24050 D HONFecService: output: groupId=3064, index=0, length=63
01-11 18:30:24.969 25729  4674 D HONFecService: input: groupId=4650, index=0, length=1452
01-11 18:30:24.970 25729 24573 D HONFecService: input: groupId=4650, index=1, length=1452
01-11 18:30:24.971 25729  4595 D HONFecService: output: groupId=3064, index=1, length=63
01-11 18:30:24.972 25729 21065 D HONFecService: input: groupId=4650, index=2, length=1452
01-11 18:30:24.973 25729  4595 D HONFecService: output: groupId=3064, index=2, length=63
01-11 18:30:24.974 25729  4605 D HONFecService: input: groupId=4650, index=3, length=1452
01-11 18:30:24.975 25729  4599 D HONFecService: output: groupId=3064, index=3, length=63
01-11 18:30:24.976 25729 24049 D HONFecService: output: groupId=3064, index=4, length=63
01-11 18:30:24.977 25729 24415 D HONFecService: output: groupId=3065, index=0, length=63
01-11 18:30:24.977 25729  4599 D HONFecService: input: groupId=4650, index=4, length=1452
01-11 18:30:24.978 25729  6200 D HONFecService: input: groupId=4651, index=0, length=1452
01-11 18:30:24.980 25729 21070 D HONFecService: output: groupId=3065, index=1, length=63
01-11 18:30:24.980 25729  6200 D HONFecService: input: groupId=4651, index=1, length=1452
01-11 18:30:24.981 25729  4605 D HONFecService: output: groupId=3065, index=2, length=63
01-11 18:30:24.982 25729 24416 D HONFecService: input: groupId=4651, index=2, length=1452
01-11 18:30:24.982 25729 21039 D HONFecService: output: groupId=3065, index=3, length=63
01-11 18:30:24.984 25729 21039 D HONFecService: output: groupId=3065, index=4, length=63
01-11 18:30:24.984 25729 24416 D HONFecService: input: groupId=4651, index=3, length=1452
